Name,Aria Speed,Bard Speed,Bolt Speed,Cad Speed,Dia Speed,Dor Speed,Dove Speed,Eli Speed,Mary Speed,Mel Speed,Monk Speed,Noc Speed,Tempo Speed,Coda Speed,Story Speed,9char Speed,13char Speed,Aria Hard Speed,Bard Hard Speed,Bolt Hard Speed,Cad Hard Speed,Dia Hard Speed,Dor Hard Speed,Dove Hard Speed,Eli Hard Speed,Mary Hard Speed,Mel Hard Speed,Monk Hard Speed,Noc Hard Speed,Tempo Hard Speed,Coda Hard Speed,Aria NR Speed,Bard NR Speed,Bolt NR Speed,Cad NR Speed,Dia NR Speed,Dor NR Speed,Dove NR Speed,Eli NR Speed,Mary NR Speed,Mel NR Speed,Monk NR Speed,Noc NR Speed,Tempo NR Speed,Coda NR Speed,Aria Rando Speed,Bard Rando Speed,Bolt Rando Speed,Cad Rando Speed,Dia Rando Speed,Dor Rando Speed,Dove Rando Speed,Eli Rando Speed,Mary Rando Speed,Mel Rando Speed,Monk Rando Speed,Noc Rando Speed,Tempo Rando Speed,Coda Rando Speed,Aria Phasing Speed,Bard Phasing Speed,Bolt Phasing Speed,Cad Phasing Speed,Dia Phasing Speed,Dor Phasing Speed,Dove Phasing Speed,Eli Phasing Speed,Mary Phasing Speed,Mel Phasing Speed,Monk Phasing Speed,Noc Phasing Speed,Tempo Phasing Speed,Coda Phasing Speed,Aria Mystery Speed,Bard Mystery Speed,Bolt Mystery Speed,Cad Mystery Speed,Dia Mystery Speed,Dor Mystery Speed,Dove Mystery Speed,Eli Mystery Speed,Mary Mystery Speed,Mel Mystery Speed,Monk Mystery Speed,Noc Mystery Speed,Tempo Mystery Speed,Coda Mystery Speed,Aria Score,Bard Score,Bolt Score,Cad Score,Dia Score,Dor Score,Dove Score,Eli Score,Mary Score,Mel Score,Monk Score,Noc Score,Tempo Score,Coda Score,Story Score,9char Score,13char Score,Aria Hard Score,Bard Hard Score,Bolt Hard Score,Cad Hard Score,Dia Hard Score,Dor Hard Score,Dove Hard Score,Eli Hard Score,Mary Hard Score,Mel Hard Score,Monk Hard Score,Noc Hard Score,Tempo Hard Score,Coda Hard Score,Aria NR Score,Bard NR Score,Bolt NR Score,Cad NR Score,Dia NR Score,Dor NR Score,Dove NR Score,Eli NR Score,Mary NR Score,Mel NR Score,Monk NR Score,Noc NR Score,Tempo NR Score,Coda NR Score,Aria Rando Score,Bard Rando Score,Bolt Rando Score,Cad Rando Score,Dia Rando Score,Dor Rando Score,Dove Rando Score,Eli Rando Score,Mary Rando Score,Mel Rando Score,Monk Rando Score,Noc Rando Score,Tempo Rando Score,Coda Rando Score,Aria Phasing Score,Bard Phasing Score,Bolt Phasing Score,Cad Phasing Score,Dia Phasing Score,Dor Phasing Score,Dove Phasing Score,Eli Phasing Score,Mary Phasing Score,Mel Phasing Score,Monk Phasing Score,Noc Phasing Score,Tempo Phasing Score,Coda Phasing Score,Aria Mystery Score,Bard Mystery Score,Bolt Mystery Score,Cad Mystery Score,Dia Mystery Score,Dor Mystery Score,Dove Mystery Score,Eli Mystery Score,Mary Mystery Score,Mel Mystery Score,Monk Mystery Score,Noc Mystery Score,Tempo Mystery Score,Coda Mystery Score,Aria DL,Bard DL,Bolt DL,Cad DL,Dia DL,Dor DL,Dove DL,Eli DL,Mary DL,Mel DL,Monk DL,Noc DL,Tempo DL,Coda DL
hokuhokureiha,11,9,9,6,4,1,6,5,7,3,7,5,2,7,5,5,3,3,3,3,3,3,1,1,2,1,5,2,3,2,0,3,2,1,2,2,1,1,1,2,1,1,2,1,2,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,3,0,340,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4,2,1,1,2,2,2,4,3,3,2,2,2,2,487,1,2,2,1,2,2,1,3,2,1,1,3,1,1,1,2,1,1,1,2,2,1,1,1,1,2,0,1721,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,52,793,0,0,0,0,0,0,17,448,217,0,0,0,0,0,0,0,0,0,0,0,0,7,26,6,46,11,4,11,5,2,7,3,15,3,5
Warachia,2,4,6,9,10,11,7,7,1,8,9,1,4,10,8,7,5,1,2,2,1,2,3,4,1,3,2,3,2,1,0,2,3,2,1,3,2,2,2,1,2,2,1,2,0,1,3,2,1,1,1,1,1,1,1,1,1,1,0,5,5,4,2,3,3,2,1,1,1,2,3,2,9,1,2,1,1,2,1,1,1,1,1,1,2,1,0,7,6,8,3,2,5,4,4,5,9,10,2,2,7,6,4,9,21,2,2,567,81,15,1,1,16,4,1,1357,21,14,8,73,6,660,8,3,3,1,9,14,8,49,2,8,1,419,1,10,317,4,1,2,1,2,2,4,2,6,1,1336,1,1,1,26,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,7,0,0,30,211,0,0,0,0,5,0,1,0,5,17
Abu Yazan,5,18,5,1,18,8,3,9,3,5,1,3,7,8,1,1,2,6,5,4,4,9,2,0,3,5,6,6,1,8,0,6,8,6,3,0,0,0,3,9,0,4,3,0,0,11,4,5,7,0,0,0,0,5,0,5,5,7,0,1,10,2,1,5,1,8,5,2,6,1,1,3,4,3,3,2,2,0,3,0,0,2,7,4,1,8,0,76,3900,23,18,1736,350,47,1770,520,464,1636,20,585,13,48,187,84,43,879,36,517,139,31,0,60,24,249,8,2682,104,6,17,628,27,652,0,28,0,10,13,69,12,138,43,12,37,2041,83,1877,379,0,0,0,47,660,19,1672,10,34,8,1316,28,682,125,29,663,80,11,450,39,456,8,12,28,874,19,35,171,7,0,0,8,441,12,110,24,10,0,0,9,0,0,0,0,0,0,0,40,432,9,7
Ocre307,3,3,7,3,19,20,19,16,19,14,11,7,10,4,9,2,14,26,0,0,30,0,0,20,0,0,0,0,1037,17,0,0,44,0,235,0,0,0,0,0,0,0,0,0,0,0,133,0,0,7,0,0,0,0,0,0,0,0,0,0,29,0,21,0,0,39,0,0,7,0,0,0,14,0,183,0,684,0,0,0,0,0,0,0,0,0,0,3,1,7,1,1,1,2,11,4,4,7,1,8,5,1,1,1,35,1,0,1,0,0,32,0,0,0,0,1000,106,34,28,2,0,1,435,0,0,0,0,0,0,0,61,0,0,1,0,3717,228,118,0,0,0,0,0,2610,155,0,69,1,120,2,720,0,1007,0,474,300,0,0,0,28,0,484,0,2,651,70,0,0,0,0,0,2272,39,0,5,31,145,10,0,56,13,0,26,464,55,0,22,13
Morraconda,10,5,3,7,1,7,1,3,4,1,2,9,3,3,3,4,41,27,0,5,0,1,0,0,0,2,0,0,803,0,0,0,0,0,445,1,0,0,0,0,6,7,0,0,0,0,18,0,0,2,0,0,0,0,118,3,0,0,0,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,10,1,0,0,0,0,56,0,0,0,0,12,15,11,6,16,1029,6,5,31,11,4,135,6,31,128,23,46,26,1217,62,0,0,0,233,0,17,0,34,1831,0,12,38,0,0,1373,33,0,0,0,25,30,26,0,0,11,569,2132,0,0,408,0,151,0,93,463,15,0,54,0,0,0,112,0,264,0,1120,0,0,367,0,0,0,89,55,0,0,410,125,0,0,0,0,149,0,0,49,0,46,34,20,129,7,41,21,131,10,74,19,0,12,11
WasKi115,4,1,1,5,14,3,23,2,5,13,6,2,1,6,10,12,9,0,1,0,2,42,36,0,0,0,114,0,7,3,0,0,1,4,35,19,0,12,0,0,0,0,0,3,0,0,1,8,57,0,17,11,0,3,0,0,106,0,0,0,1,3,23,2,10,31,6,0,30,56,60,10,2,0,1,0,18,0,6,4,0,0,5,0,0,2,0,945,117,74,2319,3891,523,34,536,1114,1473,85,0,4,6,1029,188,110,143,464,82,863,126,28,57,252,153,420,72,2433,27,5,45,78,21,1286,49,0,76,35,46,0,28,240,14,7,278,915,96,2093,0,41,143,0,26,556,236,1318,46,8,58,621,8,924,282,30,383,84,79,552,4,780,43,14,63,442,56,454,0,14,137,0,0,273,329,1831,3,4,70,1,7,74,9,59,5,13,55,16,24,691,2,10
Spootaloo,13,11,10,12,5,6,4,10,9,2,4,8,5,2,6,3,6,0,0,0,0,0,0,0,0,0,0,0,892,0,2,0,0,0,13,0,0,0,0,5,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,4,0,0,0,0,0,0,0,0,0,2,18,2797,15,15,23,533,3,1751,915,3,21,0,1185,1,673,161,147,0,0,0,0,0,0,0,0,0,0,0,148,0,1,0,0,0,1106,0,0,0,0,24,0,0,0,0,3,0,0,85,0,0,0,0,0,0,0,0,0,0,15,0,411,143,0,0,48,0,0,0,0,0,0,0,13,0,0,33,31,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Siveure,12,20,20,15,7,10,26,4,18,11,8,10,12,20,2,8,4,0,0,0,0,0,0,0,0,0,0,0,19,24,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,26,0,0,12,31,9,35,8,6,6,16,0,15,5,6,19,0,0,0,0,7,0,0,0,0,0,17,0,29,0,0,5,5,4,9,12,10,10,9,11,8,3,7,7,14,4,9,5,0,0,0,0,0,0,0,0,0,0,97,3921,94,103,79,0,0,965,0,0,0,0,63,0,0,699,0,19,203,2264,0,0,0,0,0,0,0,0,0,1620,0,39,44,1678,23,1570,167,24,226,89,319,492,35,544,26,50,0,2782,0,318,0,0,0,0,0,266,0,124,60,63,60,21,63,213,0,35,9,63,9,46,6,96,13,27
Tufwfo,18,15,2,11,3,17,8,18,21,23,16,21,17,22,20,9,19,10,16,13,14,13,15,15,13,11,10,12,11,18,0,12,20,9,11,13,9,14,12,8,14,16,9,9,0,17,20,19,17,11,12,16,13,12,4,8,17,9,0,13,7,15,12,14,16,4,21,16,11,10,20,7,17,4,4,18,9,12,11,17,5,10,18,8,11,13,0,16,11,1,22,20,14,11,37,29,19,23,19,53,44,7,13,14,42,1111,30,931,144,44,59,44,26,266,16,1589,73,24,23,436,24,1625,98,10,74,21,14,37,20,41,22,0,47,2103,72,2087,346,49,128,109,13,467,11,1847,40,0,42,1203,33,1199,186,18,479,190,27,240,27,581,53,30,17,1020,35,103,80,12,135,129,15,437,15,260,22,0,28,18,1,21,14,11,4,15,6,2,37,33,29,22
RavioLinguini,7,12,13,8,12,2,2,11,8,4,3,6,6,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,615,4161,176,3565,4482,867,4452,1054,559,1211,59,0,1912,121,657,216,112,0,992,260,0,0,0,0,0,0,0,0,3671,0,0,0,370,0,1077,0,27,0,0,0,0,0,0,0,0,0,2206,0,2201,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,54,0,0,64,0,1257,0,0,0,0,0,0,0,0,0,0,0,0,53,507,56,0,0,0,0,35,0,160,13,0,0,0
